time,"[Clarity]Air Temp. in Vehicle (℃)","[Clarity]Air Temp. Outside Vehicle (℃)","[Clarity]Battery Capacity (LineB) (Ah)","[Clarity]Battery Capacity (total) (Ah)","[Clarity]HV Battery Voltage (LineA) (V)","[Clarity]HV Battery Voltage (LineB) (V)","[Clarity]HV Total Battery Current (A)","[Clarity]Individual Cell Max SOC (Line A) (%)","[Clarity]Individual Cell Max SOC (Line B) (%)","[Clarity]Individual Cell Min SOC (Line A) (%)","[Clarity]Individual Cell Min SOC (Line B) (%)","[Clarity]SOC (%)","Altitude (GPS) (feet)","Average speed (mph)","Average speed (GPS) (mph)","Distance travelled (miles)","Distance travelled (total) (miles)","EV Instant Energy Consumption (km/kWh)","EV Instant Energy Consumption [kWh/100km] (mi/kWh)","HV EV Battery Power (kW)","Speed (GPS) (mph)","Vehicle acceleration (g)","Vehicle speed (mph)",Latitude,Longtitude,
13:19:51.667,,,,,,,,,,,,,,,0,,,,,,0,,,39.56355886,-104.87568282,
13:19:51.670,,,,,,,,,,,,,5727.09149442383,,,,,,,,,,,39.56355886,-104.87568282,
13:19:51.681,,,,,,,,,,,,,5727.09149442383,,,,,,,,,,,39.56355886,-104.87568282,
13:19:51.690,,,,,,,,,,,,,5789.15876318186,,0.0188592649094532,,,,,,0.497593951752208,,,39.56355886,-104.87568282,
13:19:51.922,,,,,,,,,,,,,5810.69564390137,,,,,,,,,,,39.5628112,-104.876006,
13:19:51.923,,,,,,,,,,,,,5810.69564390137,,0.0136767946224749,,,,,,0,,,39.5628112,-104.876006,
13:19:52.681,,,,,,,,,,,,,5727.97017642578,,,,,,,,,,,39.56355908,-104.87568299,
13:19:53.683,,,,,,,,,,,,,5728.42673863281,,,,,,,,,,,39.56356165,-104.87568366,
13:19:54.620,,,,,,,,,,,,,,,,,,,,,,,0,39.56356165,-104.87568366,
13:19:54.712,,,,,,,,,,,,,5728.12556777344,,,,,,,,,,,39.56356424,-104.87568324,
13:19:55.045,13,1,,54.98,337.3,,1.26,91.01,,89.81,,93,,,,,,,,,,,,39.56356424,-104.87568324,
13:19:55.426,,,27.49,,,337,,,91.04,,89.82,,,,,,,,,0.42462,,,,39.56356424,-104.87568324,
13:19:55.550,,,,,,,,,,,,,,,,0,84.3981021622958,0,,,,,0,39.56356424,-104.87568324,
13:19:55.673,,,,,,,,,,,,,5729.63142207031,,,,,,,,,,,39.56356445,-104.87568442,
13:19:55.919,13,1,,54.98,337.3,,1.08,91,,89.81,,93,,,,,,,,,,,,39.56356445,-104.87568442,
13:19:56.223,,,27.49,,,337.5,,,91.04,,89.82,,,,,,,,,0.3645,,,,39.56356445,-104.87568442,
13:19:56.312,,,,,,,,,,,,,,0,,0,84.3981021622958,0,,,,,0,39.56356445,-104.87568442,
13:19:56.612,13,1,,54.98,337.7,,1.26,91,,89.8,,93,,,,,,,,,,,,39.56356445,-104.87568442,
13:19:56.696,,,,,,,,,,,,,5729.75237100586,,,,,,,,,,,39.56356566,-104.87568407,
13:19:56.699,,,,,,,,,,,,,5800.18167165087,,0.320253342794854,,,,,,0.374530773388546,,,39.56356566,-104.87568407,
13:19:56.911,,,27.49,,,337,,,91.04,,89.82,,,,,,,,,0.42462,,,,39.56356566,-104.87568407,
13:19:57.002,,,,,,,,,,,,,,0,,0,84.3981021622958,0,,,,,0,39.56356566,-104.87568407,
13:19:57.090,,,,,,,,,,,,,5810.69564390137,,,,,,,,,,,39.5628112,-104.876006,
13:19:57.311,13,1,,54.98,337,,1.26,91,,89.8,,93,,,,,,,,,,,,39.5628112,-104.876006,
13:19:57.671,,,,,,,,,,,,,5731.78527430664,,,,,,,,,,,39.56356831,-104.87568724,
13:19:57.672,,,,,,,,,,,,,5731.78527430664,,0.273014240002261,,,,,,0,,,39.56356831,-104.87568724,
13:19:57.682,,,,,,,,,,,,,5800.07447082589,,0.273234903941824,,,,,,0.421260633561214,,,39.56356831,-104.87568724,
13:19:57.694,,,27.49,,,337,,,91.04,,89.82,,,,,,,,,0.42462,,,,39.56356831,-104.87568724,
13:19:57.882,,,,,,,,,,,,,,0,,0,84.3981021622958,0,,,,0,0,39.56356831,-104.87568724,
13:19:58.184,13,1,,54.98,337.3,,1.16,91,,89.8,,93,,,,,,,,,,,,39.56356831,-104.87568724,
13:19:58.498,,,27.49,,,337.7,,,91.04,,89.82,,,,,,,,,0.391732,,,,39.56356831,-104.87568724,
13:19:58.600,,,,,,,,,,,,,,0,,0,84.3981021622958,0,,,,0,0,39.56356831,-104.87568724,
13:19:58.673,,,,,,,,,,,,,5732.05200275391,,0.23758618451255,,,,,,0,,,39.56356831,-104.87568724,
13:19:58.676,,,,,,,,,,,,,5732.05200275391,,0.237489196023984,,,,,,0,,,39.56357788,-104.87569261,
13:19:58.900,13,1,,54.98,337,,1.42,91,,89.8,,93,,,,,,,,,,,,39.56357788,-104.87569261,
13:19:59.208,,,27.49,,,337.3,,,91.04,,89.82,,,,,,,,,0.478966,,,,39.56357788,-104.87569261,
13:19:59.308,,,,,,,,,,,,,,0,,0,84.3981021622958,0,,,,0,0,39.56357788,-104.87569261,
13:19:59.679,,,,,,,,,,,,,5732.17535464844,,0.269779444112642,,,,,,0.514495356505738,,,39.56358097,-104.87569764,
13:19:59.682,,,,,,,,,,,,,5800.18167165087,,0.269828698493686,,,,,,0.408778344424349,,,39.56358097,-104.87569764,
13:19:59.687,13,1,,54.98,337.5,,1.08,91,,89.8,,93,,,,,,,,,,,,39.56358097,-104.87569764,
13:19:59.995,,,27.49,,,337.5,,,91.04,,89.82,,,,,,,,,0.3645,,,,39.56358097,-104.87569764,
13:20:00.086,,,,,,,,,,,,,,0,,0,84.3981021622958,0,,,,0,0,39.56358097,-104.87569764,
13:20:00.399,13,1,,54.98,337.7,,1.26,91,,89.8,,93,,,,,,,,,,,,39.56358097,-104.87569764,
13:20:00.669,,,,,,,,,,,,,5732.91066009766,,0.242046908938898,,,,,,0,,,39.56358097,-104.87569764,
13:20:00.678,,,,,,,,,,,,,5732.91066009766,,0.241832357491292,,,,,,0,,,39.56358837,-104.87570292,
13:20:00.702,,,27.49,,,337.3,,,91.04,,89.82,,,,,,,,,0.424998,,,,39.56358837,-104.87570292,
13:20:00.808,,,,,,,,,,,,,,0,,0,84.3981021622958,0,,,,0,0,39.56358837,-104.87570292,
13:20:01.132,13,1,,54.98,337.5,,1.16,91,,89.8,,93,,,,,,,,,,,,39.56358837,-104.87570292,
13:20:01.628,,,27.49,,,337.3,,,91.04,,89.82,,,,,,,,,0.391268,,,,39.56358837,-104.87570292,
13:20:01.691,,,,,,,,,,,,,5733.28872564453,,0.257228171720354,,,,,,0.403135609609704,,,39.56359143,-104.87570525,
13:20:01.767,,,,,,,,,,,,,,0,,0,84.3981021622958,0,,,,0,0,39.56359143,-104.87570525,
13:20:02.140,13,1,,54.98,337.3,,1.26,91,,89.8,,93,,,,,,,,,,,,39.56359143,-104.87570525,
