time,"[Clarity]Air Temp. in Vehicle (℃)","[Clarity]Air Temp. Outside Vehicle (℃)","[Clarity]Battery Capacity (LineB) (Ah)","[Clarity]Battery Capacity (total) (Ah)","[Clarity]Distance Traveled since Battery Connected (miles)","[Clarity]HV Battery Voltage (LineA) (V)","[Clarity]HV Battery Voltage (LineB) (V)","[Clarity]HV Total Battery Current (A)","[Clarity]Individual Cell Max SOC (Line A) (%)","[Clarity]Individual Cell Max SOC (Line B) (%)","[Clarity]Individual Cell Min SOC (Line A) (%)","[Clarity]Individual Cell Min SOC (Line B) (%)","[Clarity]Input Voltage of Normal Charger (V)","[Clarity]Odometer (miles)","[Clarity]Output Voltage of Normal Charger (V)","[Clarity]SOC (%)","Altitude (GPS) (feet)","Average speed (mph)","Average speed (GPS) (mph)","Distance travelled (miles)","Distance travelled (total) (miles)","EV Instant Energy Consumption (km/kWh)","EV Instant Energy Consumption [kWh/100km] (mi/kWh)","HV EV Battery Power (kW)","Hybrid/EV battery pack remaining charge (%)","Hybrid/EV Battery System Current (A)","Hybrid/EV Battery System Voltage (V)","OBD Module Voltage (V)","Speed (GPS) (mph)","Vehicle acceleration (g)","Vehicle speed (mph)",Latitude,Longtitude,
12:49:46.503,,,,,,,,,,,,,,,,,5822.91108589844,,,,,,,,,,,,,,,39.56407722,-104.87567728,
12:49:47.446,,,,,,,,,,,,,,,,,5822.92069773437,,,,,,,,,,,,,,,39.56407724,-104.87567726,
12:49:48.511,,,,,,,,,,,,,,,,,5822.87904644531,,,,,,,,,,,,,,,39.56407729,-104.87567729,
12:49:48.863,23,13,,54.98,,341.8,,1.04,95.15,,94.23,,,,,98,,,,,,,,,,,,,,,,39.56407729,-104.87567729,
12:49:49.250,,,,,,,,,,,,,3.4,,341.8,,,,,,,,,,,,,,,,,39.56407729,-104.87567729,
12:49:49.432,,,,,,,,,,,,,,,,,5822.8958671582,,,,,,,,,,,,,,,39.56407729,-104.87567728,
12:49:49.631,,,27.49,,,,341.4,,,95.37,,94.2,,,,,,,,,,,,0.355056,,,,,,,,39.56407729,-104.87567728,
12:49:50.007,23,13,,54.98,,341.1,,0.86,95.15,,94.23,,,,,98,,,,,,,,,,,,,,,,39.56407729,-104.87567728,
12:49:50.369,,,,,,,,,,,,,3.4,,341.8,,,,,,,,,,,,,,,,,39.56407729,-104.87567728,
12:49:50.439,,,,,,,,,,,,,,,,,5822.90788195313,,,,,,,,,,,,,,,39.5640773,-104.87567726,
12:49:50.681,,,27.49,,,,341.8,,,95.37,,94.2,,,,,,,,,,,,0.293948,,,,,,,,39.5640773,-104.87567726,
12:49:51.028,23,13,,54.98,,341.1,,1.04,95.15,,94.23,,,,,98,,,,,,,,,,,,,,,,39.5640773,-104.87567726,
12:49:51.322,,,,,,,,,,,,,3.4,,341.8,,,,,,,,,,,,,,,,,39.5640773,-104.87567726,
12:49:51.437,,,,,,,,,,,,,,,,,5823.10572557617,,,,,,,,,,,,,,,39.56407718,-104.87567712,
12:49:51.667,,,27.49,,,,341.6,,,95.37,,94.2,,,,,,,,,,,,0.355264,,,,,,,,39.56407718,-104.87567712,
