time,"[Clarity]Air Temp. in Vehicle (℃)","[Clarity]Air Temp. Outside Vehicle (℃)","[Clarity]Battery Capacity (LineB) (Ah)","[Clarity]Battery Capacity (total) (Ah)","[Clarity]HV Battery Voltage (LineA) (V)","[Clarity]HV Battery Voltage (LineB) (V)","[Clarity]HV Total Battery Current (A)","[Clarity]Individual Cell Max SOC (Line A) (%)","[Clarity]Individual Cell Max SOC (Line B) (%)","[Clarity]Individual Cell Min SOC (Line A) (%)","[Clarity]Individual Cell Min SOC (Line B) (%)","[Clarity]Odometer (miles)","[Clarity]SOC (%)","Altitude (GPS) (feet)","Average speed (mph)","Average speed (GPS) (mph)","Distance travelled (miles)","Distance travelled (total) (miles)","EV Instant Energy Consumption (km/kWh)","EV Instant Energy Consumption [kWh/100km] (mi/kWh)","HV EV Battery Power (kW)","Hybrid/EV battery pack remaining charge (%)","Hybrid/EV Battery System Current (A)","Hybrid/EV Battery System Voltage (V)","Speed (GPS) (mph)","Vehicle acceleration (g)","Vehicle speed (mph)",Latitude,Longtitude,
12:42:57.255,,,,,,,,,,,,,,5755.95824070312,,8.99914876261851,,,,,,,,,9.01485372630715,,,39.57654102,-104.86444164,
12:42:57.261,,,,,,,,,,,,,,5755.95824070312,,8.99929497637767,,,,,,,,,9.01485372630715,,,39.57654102,-104.86444164,
12:42:57.266,,,,,,,,,,,,,,5737.02001671638,,8.99761522414247,,,,,,,,,8.7943533402131,,,39.57654102,-104.86444164,
12:42:58.263,,,,,,,,,,,,,,5755.24776583008,,9.26357530695686,,,,,,,,,9.43987068314166,,,39.57654102,-104.86444164,
12:42:58.270,,,,,,,,,,,,,,5755.24776583008,,9.26426833639902,,,,,,,,,9.43987068314166,,,39.57657891,-104.86445462,
12:42:58.277,,,,,,,,,,,,,,5737.02001671638,,9.26389894377183,,,,,,,,,9.17368602479622,,,39.57657891,-104.86445462,
12:42:59.274,,,,,,,,,,,,,,5756.07918963867,,9.25443300145856,,,,,,,,,9.23854714218172,,,39.57657891,-104.86445462,
12:42:59.279,,,,,,,,,,,,,,5756.07918963867,,9.25440253923527,,,,,,,,,9.23854714218172,,,39.576616,-104.86446464,
12:42:59.285,,,,,,,,,,,,,,5766.0763,,9.25415145231021,,,,,,,,,9.14517328751113,,,39.576616,-104.86446464,
12:43:00.267,,,,,,,,,,,,,,5755.0090719043,,9.18394799145374,,,,,,,,,8.99248385139252,,,39.576616,-104.86446464,
