time,"[Clarity]Air Temp. in Vehicle (℃)","[Clarity]Air Temp. Outside Vehicle (℃)","[Clarity]Battery Capacity (LineB) (Ah)","[Clarity]Battery Capacity (total) (Ah)","[Clarity]HV Battery Voltage (LineA) (V)","[Clarity]HV Battery Voltage (LineB) (V)","[Clarity]HV Total Battery Current (A)","[Clarity]Individual Cell Max SOC (Line A) (%)","[Clarity]Individual Cell Max SOC (Line B) (%)","[Clarity]Individual Cell Min SOC (Line A) (%)","[Clarity]Individual Cell Min SOC (Line B) (%)","[Clarity]Odometer (miles)","[Clarity]SOC (%)","Altitude (GPS) (feet)","Average speed (mph)","Distance travelled (miles)","Distance travelled (total) (miles)","EV Instant Energy Consumption (km/kWh)","HV EV Battery Power (kW)","Hybrid/EV battery pack remaining charge (%)","Hybrid/EV Battery System Current (A)","Hybrid/EV Battery System Voltage (V)","Vehicle acceleration (g)","Vehicle speed (mph)",Latitude,Longtitude,
15:56:00.925,,,,,,,,,,,,,,5671.72491646484,,,,,,,,,,,39.59378996,-104.83371531,
15:56:01.920,,,,,,,,,,,,,,5671.81542791992,,,,,,,,,,,39.59378993,-104.83371538,
15:56:02.919,,,,,,,,,,,,,,5671.88671570312,,,,,,,,,,,39.59378985,-104.83371545,
15:56:03.733,,,,,,,,,,,,,,,,,,,,,,,0,0,39.59378985,-104.83371545,
15:56:03.799,,,,,,,,,,,,,,,,,,,,37,,,,,39.59378985,-104.83371545,
15:56:03.885,,,,,,,,,,,,,,,,,,,,,1,304.359375,,,39.59378985,-104.83371545,
15:56:03.913,,,,,,,,,,,,,,5671.95399855469,,,,,,,,,,,39.59378975,-104.83371556,
15:56:04.198,17,5,,54.98,304.5,,1.24,39.55,,37.72,,,37,,,,,,,,,,,,39.59378975,-104.83371556,
15:56:04.676,,,27.49,,,304.8,,,39.55,,38.41,,,,,,,,0.377952,,,,,,39.59378975,-104.83371556,
15:56:04.895,,,,,,,,,,,,69427,,,,,,,,,,,,,39.59378975,-104.83371556,
15:56:04.990,,,,,,,,,,,,,,5672.03249521484,,,,,,,,,,,39.59378966,-104.83371567,
15:56:04.994,,,,,,,,,,,,,,,,0,336.828146631761,0,,,,,0,0,39.59378966,-104.83371567,
15:56:05.068,,,,,,,,,,,,,,,,,,,,36,,,,,39.59378966,-104.83371567,
15:56:05.144,,,,,,,,,,,,,,,,,,,,,1.1,304.375,,,39.59378966,-104.83371567,
15:56:05.582,17,5,,54.98,304,,1.32,39.55,,37.72,,,37,,,,,,,,,,,,39.59378966,-104.83371567,
15:56:05.865,,,27.49,,,304.3,,,39.55,,38.41,,,,,,,,0.401676,,,,,,39.59378966,-104.83371567,
15:56:05.918,,,,,,,,,,,,,,5672.18468261719,,,,,,,,,,,39.59378962,-104.83371559,
15:56:06.085,,,,,,,,,,,,69427,,,,,,,,,,,,,39.59378962,-104.83371559,
15:56:06.179,,,,,,,,,,,,,,,0,0,336.828146631761,0,,,,,0,0,39.59378962,-104.83371559,
15:56:06.327,,,,,,,,,,,,,,,,,,,,36,,,,,39.59378962,-104.83371559,
15:56:06.539,,,,,,,,,,,,,,,,,,,,,,304.359375,,,39.59378962,-104.83371559,
15:56:06.834,17,5,,54.98,304.3,,1.16,39.54,,37.72,,,37,,,,,,,,,,,,39.59378962,-104.83371559,
15:56:07.415,,,27.49,,,304,,,39.55,,38.41,,,,,,,,0.35264,,,,,,39.59378962,-104.83371559,
